sim-id,trigtime,ra,dec,H1-snr,L1-snr,V1-snr,snr,npix,logZ-tensor-R-1,logZ-err-tensor-R-1,logZ-tensor-N-0,logZ-err-tensor-N-0,logZ-vector-R-1,logZ-err-vector-R-1,logZ-vector-N-0,logZ-err-vector-N-0,logZ-scalar-N-0,logZ-err-scalar-N-0,logZ-scalar-P-1,logZ-err-scalar-P-1
63,966436750.58512,5.524411201,-0.889311075,15.962994624,17.55551561,10.215768226,25.833606913208182,68,-13.093461512000387,0.024065904355584204,-6.720102727703517,0.019745629049886776,-12.747919168298546,0.2271005296673635,-6.724763615422649,0.024766502707549133,-15.0283593581879,0.07556659493686438,-9.185021295254986,0.03849715063244597
64,966437685.6885507,2.916286945,-0.27644360100000004,13.241746582000001,11.61783003,19.29136525,26.124214827565364,81,-10.497571691190196,0.06136894393428935,-8.517169303487123,0.027784055213184097,-28.153113271277892,0.06255339671502709,-9.346433582321824,0.0831113548229047,-17.72141601910101,0.050826593663200824,-9.129118018019614,0.04034620757231876
65,966438488.7023937,3.344053984,-1.047121048,18.854798719,14.314297162999999,8.325715684,25.09422402975389,88,-10.455585327744135,0.10347591959939086,-8.26639299955187,0.03610153830780937,-15.11307730712343,0.03745606397028021,-6.940718709763628,0.02585085264363009,-12.672921019105814,0.11631358012959832,-8.808286557614037,0.03949868546787721
66,966439349.1656429,3.798664093,-0.71726352,17.877507251,11.243999566,4.54466609,21.602934560363824,75,-7.437737569542563,0.03267916702710737,-5.9804962850078995,0.01739870323754555,-7.457747461715035,0.02256936679247998,-6.053190026950892,0.01574253295212341,-7.365367749489768,0.02680686051798444,-5.2539135627159395,0.010972478673552747
67,966440200.0348392,0.879197001,-0.587677896,7.475373897000001,9.560994876,18.060658289000003,21.759623520430488,77,-9.290628570402243,0.04368401599814506,-6.306527657604881,0.015120735413528165,-15.066233912108142,0.05760025842995981,-6.708420501930829,0.017989464816245908,-11.911743314918821,0.029917923881105757,-7.9088028167879045,0.016839497795988655
68,966440975.5751549,5.82459116,-1.1225420240000001,13.334560068,12.49133596,7.797980164,19.865861695653344,61,-10.86385552659921,0.023214342387459196,-5.817197731472224,0.01904552619977474,-10.877095494731586,0.045942220373638584,-6.294908459971298,0.020801569551373817,-13.060575080236784,0.07358525746500726,-8.199499659019402,0.03993763428362168
69,966441923.8422563,2.3973290919999997,1.053797007,14.656881225,14.22200008,7.395555412999999,21.720582252463473,69,-10.74517811433891,0.02133508758565811,-6.50691749504909,0.02015316256303704,-11.822864578569735,0.05974404320562271,-7.197272959443231,0.02015469159749842,-12.261738120116052,0.04246121724985314,-6.851285704278145,0.021580323254523463
70,966442770.8774732,2.523857117,-0.38844299299999996,12.320571819000001,16.495362253,2.649647681,20.758470527432,74,-7.879656035723954,0.05085935214255157,-6.348792393347891,0.01635638824631046,-7.710811015689081,0.01985488134116035,-6.086269806734841,0.0211815397469195,-10.86047935847003,0.04683806104864291,-4.666810429193326,0.011610528464425654
71,966443508.0463868,3.6999430660000003,0.1888403,15.487288887,15.776938,17.653639438,28.29167501460715,93,-11.766583432168742,0.04084240044445623,-7.415996360563563,0.02532131153582733,-14.108432806885052,0.05465262735233539,-7.4997119310237155,0.027207572066414134,-27.238160390760488,0.15640647317993014,-10.947779483715266,0.057890060449960506
72,966444391.1877311,3.148665905,-0.018948911000000002,4.819524073,20.868460377,10.980247257,24.068366804199687,75,-9.31318310946718,0.04826104427782665,-7.494061713601032,0.03333359591885055,-28.175338716291574,0.04926069639976162,-7.494166190797239,0.0247227967833453,-11.583638042103429,0.12534928643977786,-5.684732589390126,0.011924609282103158
73,966445136.1558515,2.91022706,0.986872315,10.799348052000001,14.116162327,10.098271359,20.441796438435883,62,-16.351361166333433,0.021798931318696688,-6.910300107293375,0.024631693873497836,-10.642038693953284,0.093970722558987,-6.895327230325222,0.02358770675750531,-14.504026954341825,0.046118318757910434,-8.0261742896425,0.030596226929450365
74,966446074.2363958,5.836676121,0.469634801,13.768475168,17.245230375,4.5411267539999995,22.529773885561962,70,-8.354147832482823,0.06254198497396643,-6.924680630606884,0.018538372429253863,-8.43464114057317,0.03401714021856825,-6.152090279294614,0.017805090175046938,-8.051063313669834,0.043811247692159355,-5.834497040280228,0.009453138279462597
